SucursalTaller,Marca,Modelo,DiasReparacion,CostoTTRep,Severidad,Segmento,Color,NombreTipoVehiculo,NombreCausaStro
BOGOTÁ,KENWORTH,2020,31 a 60, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,OBSTACULOS EN LA VIA
BARRANQUILLA,CHEVROLET,2020,61 a 120, Alto ,Medio,Liviano,PLATA,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
BOGOTÁ,SCANIA,2020,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CHASIS,DISTRACCION DEL CONDUCTOR
MEDELLÍN,KENWORTH,2015,61 a 120, Alto ,Fuerte,Pesado,BLANCO,VOLQUETA,OBSTACULOS EN LA VIA
BARRANQUILLA,CHEVROLET,2004,31 a 60, Alto ,Fuerte,Pesado,BLANCO,FURGON,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,HINO,2020,61 a 120, Alto ,Medio,Pesado,GRIS,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
MEDELLÍN,TOYOTA,2015,31 a 60, Alto ,Fuerte,Liviano,GRIS,CAMIONETA PASAJEROS,FALLA MECANICA
BUCARAMANGA,CHEVROLET,2019,61 a 120, Alto ,Medio,Liviano,BLANCO,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BUCARAMANGA,FORD,2013,31 a 60, Alto ,Medio,Liviano,BLANCO,CAMPERO,DISTRACCION DEL CONDUCTOR
BOGOTÁ,VOLVO,2017,31 a 60, Alto ,Fuerte,Liviano,NEGRO,CAMPERO,VIOLACION DE NORMAS DE TRANSITO
PEREIRA,KENWORTH,2014,0 a 15, Alto ,Leve,Pesado,VERDE,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,CHEVROLET,2018,121 a 240, Alto ,Fuerte,Liviano,PLATA,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
